x,y,z
0.28369999999999995,0.0161,0.2717
0.19499999999999998,-0.00441,0.5860000000000001
0.46799999999999997,-0.0896,0.51
0.36129999999999995,-0.0626,0.726
0.45899999999999996,-0.0509,0.677
0.44589999999999996,-0.0975,0.645
0.4492,0.184,0.615
0.32599999999999996,0.0895,0.3442
0.236,0.0955,0.434
0.4195,0.117,0.41400000000000003
0.42729999999999996,0.0706,0.607
0.244,-0.0308,0.3173
0.534,0.122,0.496
0.591,-0.0846,0.41000000000000003
0.2883,-0.132,0.544
0.57,-0.135,0.617
0.350931,0.105,0.393
0.27059999999999995,-0.00587,0.379
0.3056,0.15,0.612
0.481,0.0232,0.5
0.432,-0.0995,0.6719999999999999
0.5559999999999999,0.0777,0.602
0.31799999999999995,-0.147,0.3312
0.3971,-0.181,0.5489999999999999
0.3137,-0.223,0.45
0.498,0.0971,0.474
0.2835,0.131,0.446
0.26759999999999995,-0.104,0.513
0.2915,0.0246,0.7050000000000001
0.3273,0.000715,0.3321
0.4118,0.136,0.637
0.42579999999999996,-0.0982,0.5329999999999999
0.487,-0.0835,0.471
0.19499999999999998,-0.0807,0.599
0.21399999999999997,-0.0351,0.593
0.473,-0.0499,0.5369999999999999
0.29209999999999997,0.12,0.374
0.3631,-0.0653,0.355
0.2506,-0.0853,0.369
0.5429999999999999,-0.132,0.493
0.42419999999999997,0.0551,0.624
0.3857,-0.0879,0.2871
0.22999999999999998,-0.126,0.383
0.29979999999999996,0.0629,0.41000000000000003
0.20999999999999996,0.0335,0.501
0.45199999999999996,-0.0183,0.2701
0.3369,-0.163,0.634
0.486,0.0688,0.46799999999999997
0.5489999999999999,0.00404,0.48
0.4451,-0.0331,0.548
0.3067,-0.104,0.402
0.3363,-0.021,0.729
0.34784,-0.0416,0.718
0.16799999999999998,0.106,0.591
0.29769999999999996,-0.247,0.482
0.175,-0.0198,0.477
0.4042,-0.0675,0.704
0.3732,-0.153,0.562
0.2813,-0.0338,0.3496
0.349529,-0.0903,0.671
0.36839999999999995,0.146,0.374
0.24999999999999997,0.00855,0.423
0.45599999999999996,-0.0874,0.375
0.22099999999999997,-0.124,0.627
0.369,-0.0239,0.616
